image,pillars_and_stances,pillar,stance_list,stance
/content/drive/MyDrive/stance_detection_datasets_GPT/total_defense_memes/TD_Memes/img_4122.jpg,"['Economic Defence', ['Against', 'Neutral', 'Neutral']]",Economic Defence,"['Against', 'Neutral', 'Neutral']",Neutral
/content/drive/MyDrive/stance_detection_datasets_GPT/total_defense_memes/TD_Memes/img_4129.jpg,"['Military Defence', ['Against', 'Neutral', 'Against']]",Military Defence,"['Against', 'Against', 'Neutral']",Against
/content/drive/MyDrive/stance_detection_datasets_GPT/total_defense_memes/TD_Memes/img_4132.jpg,"['Military Defence', ['Against', 'Neutral', 'Neutral']]",Military Defence,"['Against', 'Neutral', 'Neutral']",Neutral
/content/drive/MyDrive/stance_detection_datasets_GPT/total_defense_memes/TD_Memes/img_4134.jpg,"['Military Defence', ['Against', 'Neutral', 'Against']]",Military Defence,"['Against', 'Against', 'Neutral']",Against
/content/drive/MyDrive/stance_detection_datasets_GPT/total_defense_memes/TD_Memes/img_4137.jpg,"['Military Defence', ['Neutral', 'Neutral', 'Against']]",Military Defence,"['Against', 'Neutral', 'Neutral']",Neutral
/content/drive/MyDrive/stance_detection_datasets_GPT/total_defense_memes/TD_Memes/img_4143.jpg,"['Digital Defence', ['Against', 'Neutral', 'Against']]",Digital Defence,"['Against', 'Against', 'Neutral']",Against
/content/drive/MyDrive/stance_detection_datasets_GPT/total_defense_memes/TD_Memes/img_4148.jpg,"['Military Defence', ['Against', 'Neutral', 'Neutral']]",Military Defence,"['Against', 'Neutral', 'Neutral']",Neutral
/content/drive/MyDrive/stance_detection_datasets_GPT/total_defense_memes/TD_Memes/img_4158.jpg,"['Civil Defence', ['Against', 'Neutral', 'Neutral']]",Civil Defence,"['Against', 'Neutral', 'Neutral']",Neutral
/content/drive/MyDrive/stance_detection_datasets_GPT/total_defense_memes/TD_Memes/img_4161.jpg,"['Digital Defence', ['Against', 'Neutral', 'Against']]",Digital Defence,"['Against', 'Against', 'Neutral']",Against
/content/drive/MyDrive/stance_detection_datasets_GPT/total_defense_memes/TD_Memes/img_4164.jpg,"['Economic Defence', ['Against', 'Neutral', 'Against']]",Economic Defence,"['Against', 'Against', 'Neutral']",Against
/content/drive/MyDrive/stance_detection_datasets_GPT/total_defense_memes/TD_Memes/img_4165.jpg,"['Economic Defence', ['Against', 'Neutral', 'Against']]",Economic Defence,"['Against', 'Against', 'Neutral']",Against
/content/drive/MyDrive/stance_detection_datasets_GPT/total_defense_memes/TD_Memes/img_4166.jpg,"['Military Defence', ['Against', 'Neutral', 'Neutral']]",Military Defence,"['Against', 'Neutral', 'Neutral']",Neutral
/content/drive/MyDrive/stance_detection_datasets_GPT/total_defense_memes/TD_Memes/img_4167.jpg,"['Economic Defence', ['Supportive', 'Neutral', 'Neutral']]",Economic Defence,"['Neutral', 'Neutral', 'Supportive']",Neutral
/content/drive/MyDrive/stance_detection_datasets_GPT/total_defense_memes/TD_Memes/img_4168.jpg,"['Civil Defence', ['Supportive', 'Neutral', 'Neutral']]",Civil Defence,"['Neutral', 'Neutral', 'Supportive']",Neutral
/content/drive/MyDrive/stance_detection_datasets_GPT/total_defense_memes/TD_Memes/img_4174.jpg,"['Military Defence', ['Against', 'Neutral', 'Neutral']]",Military Defence,"['Against', 'Neutral', 'Neutral']",Neutral
/content/drive/MyDrive/stance_detection_datasets_GPT/total_defense_memes/TD_Memes/img_4175.jpg,"['Military Defence', ['Against', 'Neutral', 'Neutral']]",Military Defence,"['Against', 'Neutral', 'Neutral']",Neutral
/content/drive/MyDrive/stance_detection_datasets_GPT/total_defense_memes/TD_Memes/img_4178.jpg,"['Economic Defence', ['Supportive', 'Neutral', 'Neutral']]",Economic Defence,"['Neutral', 'Neutral', 'Supportive']",Neutral
/content/drive/MyDrive/stance_detection_datasets_GPT/total_defense_memes/TD_Memes/img_4180.jpg,"['Military Defence', ['Against', 'Neutral', 'Neutral']]",Military Defence,"['Against', 'Neutral', 'Neutral']",Neutral
