image,pillars_and_stances,pillar,stance_list,stance,caption,pillar_w_definition,prediction
/content/drive/MyDrive/stance_detection_datasets/total_defense_memes/TD_Memes/img_4120.jpg,"['Economic Defence', ['Neutral', 'Neutral']]",Economic Defence,"['Neutral', 'Neutral']",Neutral,"when a hb flat finishes its 99 year lease, can israel be sad with the redevelopment",Singapore's Economic Defence: Strong and resilient Singaporean economy that is globally competitive and able to bounce back from any crisis.,neutral
/content/drive/MyDrive/stance_detection_datasets/total_defense_memes/TD_Memes/img_4123.jpg,"['Social Defence', ['Against', 'Against', 'Against']]",Social Defence,"['Against', 'Against', 'Against']",Against,talking face about cha k knees indian and singaporeans,"Singapore's Social Defence: Bonds that unite Singaporeans, built on trust and understanding among people of different races and religions, living in harmony and looking out for one another.",neutral
/content/drive/MyDrive/stance_detection_datasets/total_defense_memes/TD_Memes/img_4126.jpg,"['Military Defence', ['Neutral', 'Neutral', 'Neutral']]",Military Defence,"['Neutral', 'Neutral', 'Neutral']",Neutral,making up % nfs % vocabulary wawa sham bro downpes sua sa,"Singapore's Military Defence: Strong and formidable defence force made up of Regulars and National Servicemen, and supported by the entire Singapore.",supportive
/content/drive/MyDrive/stance_detection_datasets/total_defense_memes/TD_Memes/img_4127.jpg,"['Social Defence', ['Neutral', 'Neutral']]",Social Defence,"['Neutral', 'Neutral']",Neutral,"we must be equal in our sater, so here goes chinese admin","Singapore's Social Defence: Bonds that unite Singaporeans, built on trust and understanding among people of different races and religions, living in harmony and looking out for one another.",neutral
/content/drive/MyDrive/stance_detection_datasets/total_defense_memes/TD_Memes/img_4128.jpg,"['Psychological Defence', ['Supportive', 'Supportive']]",Psychological Defence,"['Supportive', 'Supportive']",Supportive,when you only happens once & waited 365 days for the next red npc,"Singapore's Psychological Defence: The will and resolve to defend the Singaporean way of life and interests, the fighting spirit to overcome challenges together.",neutral
/content/drive/MyDrive/stance_detection_datasets/total_defense_memes/TD_Memes/img_4131.jpg,"['Military Defence', ['Neutral', 'Neutral', 'Neutral']]",Military Defence,"['Neutral', 'Neutral', 'Neutral']",Neutral,how the saf creates a dominating army,"Singapore's Military Defence: Strong and formidable defence force made up of Regulars and National Servicemen, and supported by the entire Singapore.",supportive
/content/drive/MyDrive/stance_detection_datasets/total_defense_memes/TD_Memes/img_4133.jpg,"['Economic Defence', ['Neutral', 'Neutral']]",Economic Defence,"['Neutral', 'Neutral']",Neutral,nissan and nissan nss can now buy army gear on lazada as start-up,Singapore's Economic Defence: Strong and resilient Singaporean economy that is globally competitive and able to bounce back from any crisis.,neutral
/content/drive/MyDrive/stance_detection_datasets/total_defense_memes/TD_Memes/img_4138.jpg,"['Military Defence', ['Neutral', 'Neutral']]",Military Defence,"['Neutral', 'Neutral']",Neutral,storm st kilda can't stop all of us,"Singapore's Military Defence: Strong and formidable defence force made up of Regulars and National Servicemen, and supported by the entire Singapore.",supportive
/content/drive/MyDrive/stance_detection_datasets/total_defense_memes/TD_Memes/img_4139.jpg,"['Economic Defence', ['Against', 'Against', 'Against']]",Economic Defence,"['Against', 'Against', 'Against']",Against,you're telling me that i worked hard and paid so much for this mine is only mine for 99 years,Singapore's Economic Defence: Strong and resilient Singaporean economy that is globally competitive and able to bounce back from any crisis.,neutral
/content/drive/MyDrive/stance_detection_datasets/total_defense_memes/TD_Memes/img_4140.jpg,"['Economic Defence', ['Against', 'Against', 'Against']]",Economic Defence,"['Against', 'Against', 'Against']",Against,you're telling me that i worked hard and paid so much for a mine that is only mine for 99 years,Singapore's Economic Defence: Strong and resilient Singaporean economy that is globally competitive and able to bounce back from any crisis.,neutral
